Solped,OC,Proveedor,Material,Saldo
6100005457,5100007799,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 1533x2530x178 Certf,30
6100005452,5100007791,767289502  Madepal SPA,Pallet Madera 7GP 1830x2530x178 NA,25
6100005447,5100007786,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera BBA 3030x2330x178 Cert,55
6100005444,5100007786,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera Poste 600x1600x178 Cert,50
6100005435,5100007777,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 7GP 1830x2530x178 Cert,15
6100005435,5100007777,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 5GP 1145x2530x178 Cert,10
6100005435,5100007777,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera MP240 2380x2530x178 Cert,95
6100005435,5100007777,770835127  SOCIEDAD COMERCIAL PROTI,Pallet BBA 2500x2315x178 Cert,50
6100005435,5100007777,770835127  SOCIEDAD COMERCIAL PROTI,Pallet BBA 1550x1534x178 Cert,115
6100005430,5100007771,77256239K  La & Perven SPA,Pallet Madera CHEP 1000x1200x157 NA,25
6100005400,5100007766,216348206  Daiane Cristina Do Nasci,Pallet Madera 1000x1000x108 NA,200
6100005414,5100007759,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera MP240 2380x2530x178 Cert,32
6100005414,5100007759,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 1500x2530x178 Cert,36
6100005414,5100007759,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP3 2080x3030x178 Cert,75
6100005399,5100007736,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera Poste 600x1600x178 Cert,75
6100005398,5100007736,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 Cert,170
6100005398,5100007736,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 NA,150
6100005400,5100007737,77256239K  La & Perven SPA,Pallet Madera CHEP 1000x1200x157 NA,150
6100005399,5100007737,77256239K  La & Perven SPA,Pallet Madera Poste 600x1070x115 NA,25
6100005350,5100007700,767289502  Madepal SPA,Pallet Madera 5GP 1145x2530x178 Cert,5
6100005350,5100007700,767289502  Madepal SPA,Pallet Madera 5GP3 1145x3030x178 Cert,3
6100005353,5100007686,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 NA,100
6100005324,5100007661,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 Cert,7
6100005324,5100007661,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 Cert,18
6100005314,5100007652,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera Poste 600x1070x115 NA,250
6100005314,5100007652,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera Poste 600x1600x178 Cert,250
6100005313,5100007649,216348206  Daiane Cristina Do Nasci,Pallet Madera 1000x1000x108 NA,55
6100005313,5100007649,216348206  Daiane Cristina Do Nasci,Pallet Madera CHEP 1000x1200x157 NA,185
6100005296,5100007636,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera Poste 600x1070x115 NA,50
6100005292,5100007633,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera MP240 2380x2530x178 Cert,20
6100005292,5100007633,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP3 2080x3030x178 Cert,10
6100005292,5100007633,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 Cert,10
6100005292,5100007633,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera MP240 2380x2530x178 Cert,10
6100005292,5100007633,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 Cert,16
6100005292,5100007633,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 Cert,8
6100005292,5100007633,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 Cert,20
6100005292,5100007633,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 1534x3030x178 Cert,16
6100005264,5100007622,769959696  Conare chile SPA,Pallet Madera 1000x1000x108 NA,300
6100005264,5100007593,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 4GP 2080x2530x178 NA,200
6100005264,5100007593,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera 7GP 1830x2530x178 NA,2
6100005264,5100007593,770835127  SOCIEDAD COMERCIAL PROTI,Pallet Madera MP240 2380x2530x178 NA,240
6100005250,5100007573,767289502  Madepal SPA,Pallet 4GP 2080x2530 Certifica,1
6100005179,5100007485,77256239K  La & Perven SPA,Pallet 4GP 2080 x 2530mm,100
6100005146,5100007460,767289502  Madepal SPA,Pallet 7GP de 1830 x 2530,50
6100005146,5100007460,767289502  Madepal SPA,Pallet Mp240 2430 x 2530mm,25
6100005146,5100007461,77256239K  La & Perven SPA,Pallet 7GP de 1830 x 2530,25
6100005142,5100007454,216348206  Daiane Cristina Do Nasci,"Pallet 1,00 x 1,00m",120
